Decision ID,Topic,Status,Tier,Owner,Dependencies,Current Recommendation,RFC File,Prototype Required,Target Review Date,Source Topics
IFC5-001,Strategic Architecture Mode,Idea,1 - Foundational,TBD,,TBD,RFC-IFC5-001-strategic-architecture-mode.md,No,,Topics 1 / 3
IFC5-002,Normative Information Model Formalism,Idea,1 - Foundational,TBD,IFC5-001,TBD,RFC-IFC5-002-normative-model-formalism.md,No,,Topic 2
IFC5-003,Identity Model,Idea,1 - Foundational,TBD,IFC5-001,TBD,RFC-IFC5-003-identity-model.md,Yes,,Topic 8
IFC5-004,Path Model and Addressing,Idea,1 - Foundational,TBD,IFC5-003,TBD,RFC-IFC5-004-path-model.md,Yes,,Topic 9
IFC5-005,Namespace and Qualified Names,Idea,1 - Foundational,TBD,IFC5-002,TBD,RFC-IFC5-005-namespaces.md,No,,"Topics 6, 7"
IFC5-006,Serialization and Encoding,Idea,1 - Foundational,TBD,IFC5-001,TBD,RFC-IFC5-006-serialization-encoding.md,No,,"Topics 4, 55, 56, 57"
IFC5-007,Scene Graph vs. ECS vs. Hybrid Architecture,Idea,2 - Core Architecture,TBD,"IFC5-001, IFC5-003, IFC5-004",TBD,RFC-IFC5-007-scene-graph-vs-ecs.md,Yes,,"Topics 10, 11, 12, 58"
IFC5-008,Relationship Modeling Strategy,Idea,2 - Core Architecture,TBD,IFC5-007,TBD,RFC-IFC5-008-relationship-modeling.md,Yes,,"Topics 20, 21, 22"
IFC5-009,Class and Type Representation,Idea,2 - Core Architecture,TBD,IFC5-007,TBD,RFC-IFC5-009-class-type-representation.md,No,,"Topics 13, 14, 26"
IFC5-010,Composition / Inheritance / Instancing,Idea,2 - Core Architecture,TBD,"IFC5-007, IFC5-009",TBD,RFC-IFC5-010-composition-inheritance.md,Yes,,Topic 11
IFC5-011,Document-Level Structure,Idea,2 - Core Architecture,TBD,IFC5-006,TBD,RFC-IFC5-011-document-structure.md,No,,Topic 5
IFC5-012,Modular Schema Imports,Idea,2 - Core Architecture,TBD,"IFC5-005, IFC5-011",TBD,RFC-IFC5-012-modular-schema-imports.md,No,,Topic 6
IFC5-023,Attribute Representation,Idea,2 - Core Architecture,TBD,"IFC5-005, IFC5-007",TBD,RFC-IFC5-023-attribute-representation.md,No,,Topic 15
IFC5-024,Type System / Primitives / Enumerations / SELECTs,Idea,2 - Core Architecture,TBD,"IFC5-002, IFC5-023",TBD,RFC-IFC5-024-type-system-primitives.md,No,,"Topics 16, 17, 18"
IFC5-025,Collections and Cardinality,Idea,2 - Core Architecture,TBD,"IFC5-023, IFC5-024",TBD,RFC-IFC5-025-collections-cardinality.md,No,,Topic 19
IFC5-013,Property Sets and Properties,Idea,3 - Domain Modeling,TBD,IFC5-009,TBD,RFC-IFC5-013-property-sets.md,Yes,,Topic 27
IFC5-014,Geometry Architecture,Idea,3 - Domain Modeling,TBD,"IFC5-007, IFC5-010",TBD,RFC-IFC5-014-geometry-architecture.md,Yes,,"Topics 30, 32, 37"
IFC5-015,OpenUSD Alignment,Idea,3 - Domain Modeling,TBD,"IFC5-007, IFC5-014",TBD,RFC-IFC5-015-openusd-alignment.md,Yes,,"Topics 31, 33"
IFC5-016,Spatial Structure and Decomposition,Idea,3 - Domain Modeling,TBD,"IFC5-008, IFC5-010",TBD,RFC-IFC5-016-spatial-structure.md,No,,"Topics 23, 24"
IFC5-017,Material Modeling,Idea,3 - Domain Modeling,TBD,IFC5-013,TBD,RFC-IFC5-017-material-modeling.md,No,,Topic 29
IFC5-026,Openings / Voids / Fillings,Idea,3 - Domain Modeling,TBD,"IFC5-008, IFC5-016",TBD,RFC-IFC5-026-openings-voids-fillings.md,Yes,,Topic 25
IFC5-027,Classification and External Dictionaries,Idea,3 - Domain Modeling,TBD,"IFC5-005, IFC5-009",TBD,RFC-IFC5-027-classification-external-dictionaries.md,No,,Topic 28
IFC5-028,Units and Measures,Idea,3 - Domain Modeling,TBD,"IFC5-011, IFC5-024",TBD,RFC-IFC5-028-units-measures.md,No,,Topic 34
IFC5-029,Presentation and Appearance,Idea,3 - Domain Modeling,TBD,"IFC5-015, IFC5-017",TBD,RFC-IFC5-029-presentation-appearance.md,No,,Topic 35
IFC5-030,Space Boundaries and Topology,Idea,3 - Domain Modeling,TBD,"IFC5-008, IFC5-016",TBD,RFC-IFC5-030-space-boundaries.md,No,,Topic 36
